Unnamed: 0,text,x,y
0,"Scopes 1, 2 and 3 are included in this study with the following scopes: ●●scope 1 covers emissions from buildings owned or operated by the Group and vehicles owned by the Group (fuel consumption); 172 — 2019 Universal Registration Document - ACCORCorporate responsibility aiminG for carBon neutrality for the hotel network under the a ccor Brand2",-5.361702,14.247186
1,"●●scope 2 covers the indirect emissions from the production of energy purchased for its operations (electricity purchased, steam, heating and air conditioning); ●●scope 3 covers the indirect emissions due to upstream and downstream activities required for the Group’s direct activity: •upstream activities: purchase of goods and services, capital goods, indirect fuel and energy consumption, waste generated by activities, business travel, •downstream activities: franchises, property, plant and equipment",-7.1602125,18.953194
3,"28 teqCO2 per room and per year These results, aggregated to the Group scope, hide very different realities between hotel ranges and countries, notably due to the variation in national energy mixes",-4.4280953,11.816884
4,"Breakdown of emissions by scope – Accor Group Scope 2 Market basedScope 17% Scope 361% 33%4,157 hotels The significant weight of electricity (79% of scope 1 and 2 emissions) is due to two factors: consumption in hotels and the weight of carbon emission factors that depends on countries’ energy mix",1.1250774,15.98517
5,"Breakdown of greenhouse gas emissions by hotel category (scope 1 and 2) Upscale luxury hotels (19% of hotels)Economy (49% of hotels)14% Midscale hotels (32% of hotels)30%56%2,127 hotels The acquisition of different Luxury hotel chains over the last few years has accentuated the share of the carbon footprint from this hotel category",-1.3170301,13.060192
6,"Breakdown of greenhouse gas emissions by continent (scope 1 and 2) North and Central America and the Caribbean Africa and Middle EastSouth America8% Asia-Paciﬁc49%Europe21% 21%1% 2,127 hotels The location of carbon emissions reflects several realities in the Group’s economic environment: specifically Asia, the Middle East and North America, which are characterized by the strong development of the luxury sector and a significant share of leisure-focused hotels, and lastly, an energy mix with a high carbon emission factor",-0.016066635,15.012936
7,Scope 3 emissions Products and services purchased Property assets 45%4% Employee travel 14% Emissions due to energy consumption (not included in scopes 1 and 2)Waste1% Franchised hotels 15%19% Purchases of products and services represent the most significant share of scope 3,-9.462743,14.763002
11,"This is an average of around 50 metric tons per hotel per year, reflecting a range of realities for the different hotel categories: “budget category” (around 25 metric tons/hotel/year), “economy category” (around 30 metric tons/hotel/year), “midrange category” (around 60 metric tons/hotel/year) and “luxury, top-end category” (90 metric tons/hotel/year)",-1.181181,12.35338
12,"The analysis of the detailed data from the Accor waste management tool offers insight on the breakdown of waste produced by category and the average rate of recovery: Breakdown of 220,000 metric tons of waste by category (as a %) 50 % 34%5%3%2%1%5% 55% 64% 72%52%-%39%27%Breakdown of 220,000 metric tons of waste by category (as a %) Rate of recovery Distribution rate Food waste, food oils, cooking grease Hazardous waste, mostly batteries, printing cartridges and compact ﬂuorescent bulbs Garden wastePaperPackaging (cardboard, glass, plastic, etc",-0.044624373,11.397523
13,"Detail of the scope – Scope 1 and 2 – Excluding franchises Group Total Number of hotels 2,127 Number of rooms 388,164 Surface area (in millions of m2) – Gross floor area* 18",2.9921358,1.4414508
14,"The following data could not be evaluated as part of scope 3: emissions from guest travel and employee home-to-work commuting, emissions linked to investments, assets in upstream and downstream leases, the usage of products sold, the conversion of products sold, upstream and downstream distribution and freight",-10.509882,14.077267
15,"Greenhouse gas emissions The greenhouse gas emissions presented in the report, expressed in tons of CO2 equivalent, are the direct emissions, known as scope 1 (which correspond to the fuels, such as gas and fuel oil burned at the hotels) and indirect emissions, known as scope 2 (due on the one hand to the electricity consumed in the hotels, and on the other hand to the heat, and air conditioning supplied by urban heating and cooling networks)",-3.0532708,14.648465
17,"For example, the Group’s carbon footprint included scope 3, considering the following items: ●●hotel construction and refurbishment; ●●hotel management: cleaning products, pesticides;●●employee travel; ●●food and beverages",-3.6481025,11.826891
18,"Action plans and results Indirect energy footprint: indicators and targets According to the P9XCA method, the estimate of greenhouse gas emissions from all of the Crédit Agricole Group’s investments and financing (scope 3) is as follows (in thousands of tonnes of CO2 equivalent): Geographic areasIndustries TOTAL Agriculture Real estate Energy Manufacturing TransportWaste managementPublic services France 20,269 9,338 3,624 4,189 21,311 3,200 1 61,932 Germany 133 212 2,106 458 3,046 1 0 5,956 Spain 8 102 694 129 1,333 28 4 2,298 Italy 274 456 2,298 844 3,711 133 0 7,717 United Kingdom 204 87 582 254 1,477 108 1 2,714 Other Western Europe 332 426 3,997 1,147 4,891 164 131 11,088 Others Europe 24 362 2,058 1,633 2,873 69 0 7,019 Africa and Middle-East 497 107 1,202 760 2,481 1,762 0 6,809 United States -129 946 2,827 3,148 5,827 14 64 12,697 Others North America 15 58 262 209 4,537 0 0 5,081 South America 364 40 564 910 2,018 202 0 4,098 China 4 283 936 1,945 2,046 0 0 5,215 India 3 13 1,680 266 264 50 0 2,277 Japan 0 107 0 103 800 0 0 1,010 Others Asia 110 426 2,834 1,247 2,731 0 0 7,348 totAL 22,109 12,964 25,666 17,241 59,343 5,734 201 143,258 To calculate its carbon footprint, the Crédit Agricole Group follows the recommendations in the sectoral guide for the financial sector Quantifying Greenhouse Gas Emissions, published by ADEME, ABC and ORSE",-16.6149,-3.377038
19,"/year) estimated coverage rate 2020 2019 2018 2020 2019 2018 2020 2019 2018 Gas 64,531 72,890 79,037 13,263 14,981 16,244 96% 93% 94% Fuel oil 3,821 4,777 4,511 1,212 1,514 1,430 96% 100% 100% SCoPe 1 68,352 77,667 83,548 14,475 16,495 17,674 Electricity 284,356 309,699 328,238 59,229 66,032 69,046 96% 93% 93% District heating 23,725 17,035 20,581 5,305 3,809 4,602 93% 100% 100% Cooling network 5,180 4,996 5,062 226 218 221 93% 100% 100% Data centre electricity(1)77,126 77,515 79,876 5,292 2,831 2,917 SCoPe 2 390,387 409,245 433,757 70,052 72,890 76,786 (1) Only the consumption of data centres that could be isolated from their corresponding office buildings is taken into account",-4.372454,15.496427
21,"In 2020, operating emissions fell drastically due to the health crisis, by 12% (scope 1) and 4% (scope 2) respectively compared to 2019, or by 12% (scope 1) and 15% (scope 2) compared to 2016",-2.0083635,1.1186484
22,7 11 - Describe the objectives used by the Company to manage climate risks and opportunities and the performance achieved against the objectivesConcerning Scope 3 (financing and investment portfolio): the Crédit Agricole Group is committed to aligning itself with a scenario compatible with the Paris Agreement (IEA SDS),7.764148,10.499202
