Unnamed: 0,text,x,y
2,"Results 2017 carbon footprint Direct emissions (scope 1) 434,890 teqCO2 Indirect emissions (scope 2 market-based) 2,050,298 teqCO2 Total Scope 1 + 2 2,485,188 teqCO2 Other indirect emissions (scope 3) 3,826,676 teqCO2 Total Scope 1+2+3 6,311,864 teqCO2 Emission intensity (scope 1) 1",1.8757831,-0.83665895
9,"In 2019, over the reporting scope of 1,531 validated hotels, GHG emissions reached 1,946 kteq of CO2 broken down into 87% in scope 2 (indirect emissions related to electricity and to urban networks) and 13% in scope 1 (direct emissions related to fuel)",3.5627053,-5.5233946
10,6%99%98% 56% 13%13%13% 2019 2018 2017 Water performance of hotels and financial impacts: 2018 results and target achievement report Water use in millions of m3 Total water consumption Total water consumption on at a comparable scope In liters/stay Average water ratio on at a comparable scope 2018 201934,-3.6724477,-15.440964
13,"Detail of the scope – Scope 1 and 2 – Excluding franchises Group Total Number of hotels 2,127 Number of rooms 388,164 Surface area (in millions of m2) – Gross floor area* 18",2.9921358,1.4414508
20,Landing of the 2016-2020 target of a 15% reduction in the footprint The action plans taken at the various entities have been successful as the greenhouse gas emissions of scope 1 and scope 2 have decreased by 3% and 8% between 2016 and 2019,3.1143258,-0.4180772
28,"b) With regard to the ESG methodology of the participations through • an increased focus in their materiality matrices on the most important levers, us- ing the EU taxonomy as a point of reference, and a greater number of measure- ments of CO2 emissions (where possible with a ‘science-based target’ approach), • fine-tuning KPIs in order to better monitor progress",9.924823,3.9005167
32,"EVOLUTION OF RELEVANT INDICATORS OF THE NFIS ENVIRONMENTAL ISSUES 2018 2019 Percentage of its sales covered by the ISO 14001 Certification 76% 76% Hazardous waste (tn) 42,717 130,279 Non-hazardous waste (tn) 17,310,934 12,403,694 Scope 1 emissions (tCO2) 3,073,384 3,002,654 Scope 2 emissions (tCO2) 265,501 279,435 Scope 3 emissions (tCO2) 3,029,134 2,700,413 Total energy consumption (MWh) 11,610,126 12,111,859 Consumption of electricity from renewable sources 23,771 58,399 SOCIAL AND PERSONNEL ISSUES December 31 workforce 195,461 190,431 % of male staff 61",0.9720057,-7.2587748
34,"9 INDUSTRIAL SERVICES: TOTAL EMISSIONS 85,583 92,842 124,777 149,095 Scope 1 44,326 47,766 80,574 95,467 Scope 2 16,430 24,807 27,249 42,238 Scope 3** 24,827 20,269 16,954 11,391 Emissions intensity (total emissions/revenues) 14",-0.02909188,-0.81164247
35,"2 SERVICES: TOTAL EMISSIONS 20,737 23,779 25,819 18,093 Scope 1 13,924 13,838 16,416 14,423 Scope 2 6,813 6,551 5,313 676 Scope 3** nd 3,390 4,090 2,994 Emissions intensity (total emissions/revenues) 14",0.10020248,-0.21571751
36,"**** In Industrial Services, the increase in 2018 is due to the fact that Scope 1 emissions included for the first time data from Cobra companies in Colombia, and Scope 2 includes for the first time the electricity consumption of Cobra’s division in Peru",1.6794617,-9.781566
38,"In this way, in 2019, Clece has reduced Scope 2 emissions by over 80%, through the purchase of more than 90% of its electricity with 100% guarantees",1.9354519,-2.3769324
39,"Currently, the reduction targets are those set out in the Plan 20-20 which define the reduction in intensity of Scope 1 and Scope 2 emissions below those obtained in 2015, objective which is currently in progress",7.222838,3.0261693
40,"In Industrial Services, the increase in 2018 is due to the fact that Scope 1 emissions included for the first time data from Cobra companies in Colombia, and Scope 2 includes for the first time the electricity consumption of Cobra’s division in Peru",1.3907578,-9.954707
41,"Risks related to environmental issues Page 140 Contamination Measures to prevent, reduce or repair emissions that seriously affect the environment; taking into account any form of activity-specific air pollution, including noise and light pollution305-1 Direct GHG emissions (Scope 1) 305-2 Indirect GHG emissions in energy generation (Scope 2) 305-3 Other indirect GHG emissions (Scope 3) 305-5 Reduction of GHG emissions5",10.898013,-9.361998
42,"Page131 Climate change The important elements of greenhouse gas emissions generated as a result of the company's activities, including the use of the goods and services that it produces305-1 Direct GHG emissions (Scope 1) 305-2 Indirect GHG emissions in energy generation (Scope 2) 305-3 Other indirect GHG emissions (Scope 3)5",5.3138833,-3.9862328
43,"Page 139No CRE5 Land remediated and in need of remediation for the existing or intended land use, according to applicable legal designationsPartial infomation Page 139No CRE8 Type and number of sustainability c ertification, rating and labeling schemes for new construction, management, occupation and redevelopment136 Yes (256-257) Climate change is a global concern GRI 103: Management Approach 2016103-1 Explanation of the material topic and its boundary 233 Yes (256-257) 103-2 The management approach and its components 233 Yes (256-257) 103-3 The evaluation of the management approach 124-128 Yes (256-257) GRI 305: Emissions 2016305-1 Direct GHG emissions (Scope 1) 124 Yes (256-257) 305-2 Energy indirect GHG emissions (Scope 2) 124 Yes (256-257) 305-3 Other indirect GHG emissions (Scope 3) 124 Yes (256-257) 305-4 GHG emissions intensity 124 Yes (256-257) 305-5 Reduction of GHG emissions 125 Yes (256-257) 305-6 Emissions of ozone-depleting substances (ODS) 242 Yes (256-257) 305-7 Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions 242 Yes (256-257) G4 Sector Disclosure: C onstruction and Real EstateCRE3 Greenhouse gas emissions intensity from buildings Not availablePartial infomation Page 139No CRE4 Greenhouse gas emissions intensity from new construction and redevelopment activity 124 Yes (256-257)Free translation from the original in Spanish",-14.094498,-11.781485
44,"1% Hazardous waste (tn) 130,343 389,150 Non-hazardous waste (tn) 12,669,950 15,713,510 Scope 1 emissions (tCO 2) 3,001,287 2,683,671 Scope 2 emissions (tCO 2) 277,291 183,375 Scope 3 emissions (tCO 2) 2,714,878 1,937,759 Total energy consumption (MWh) 12,669,432 11,258,838 Electricity consumption from renewable sources (MWh) 63,323 64,246 SOCIAL AND PERSONNEL ISSUES December 31Workforce 190,431 179,539 % Men workforce 58",0.74598485,-6.479637
45,"CO 2 emissions by areas of activity (TCO 2eq)* 2017 2018 2019 2020 TOTAL ACS GROUP 5,933,726 6,368,019 5,993,456 4,804,804 Scope 1 2,436,364 3,073,384 3,001,287 2,683,671 Scope 2 371,274 265,501 277,291 183,375 Scope 3 3,126,088 3,029,134 2,714,878 1,937,759 Emissions intensity (total emissions/sales) 179 182 158",0.66600883,1.019273
46,"7 INFRASTRUCTURE: TOTAL EMISSIONS 5,817,105 6,217,424 5,823,231 4,684,354 Scope 1 2,374,760 2,976,395 2,891,051 2,584,051 Scope 2 339,916 232,939 235,137 174,914 Scope 3 3,102,429 3,008,090 2,697,043 1,925,389 Emissions intensity (total emissions/sales) 226",0.14348722,-1.5256444
47,"5 INDUSTRIAL SERVICES: TOTAL EMISSIONS 92,842 124,777 152,132 105,807 Scope 1 47,766 80,574 95,814 86,767 Scope 2 24,807 27,249 41,477 8,444 Scope 3 20,269 16,954 14,841 10,595 Emissions intensity (total emissions/sales) 15",0.6092021,-1.1632628
48,"1 SERVICES: TOTAL EMISSIONS 23,779 25,819 18,093 14,644 Scope 1 13,838 16,416 14,423 12,853 Scope 2 6,551 5,313 676 17 Scope 3 3,390 4,090 2,994 1,775 Emissions intensity (total emissions/sales) 16",0.77355564,-0.5473505
50,In Industrial Services the increase in 2018 is due to the fact that Scope 1 emissions include for the first time data from Cobra companies in Colombia and Scope 2 includes for the first time the electricity consumption of Cobra’s division in Peru,1.780538,-10.199414
51,"The objectives set by the Group in relation to climate change are the ones established in 20-20 Plan, which includes a commitment to reduce the intensity of Scope 1 and Scope 2 emissions below the levels obtained in 2015 and that, as of the date of the plan, the ACS Group has achieved",7.594659,4.282773
